PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_ROOM,PARK_FACIL,Estimate
P05996,Chrompet,958,185,3,No,2032600
P09294,Anna Nagar,1807,108,5,Yes,3704100
P03807,Karapakkam,1658,59,4,No,3879720
P00539,Anna Nagar,1592,102,4,Yes,4081340
P01448,Chrompet,857,62,3,No,1812120
P06667,KK Nagar,1818,12,5,No,4724630
P09803,Velachery,1584,186,4,Yes,5330960
P05568,Anna Nagar,1860,59,5,Yes,8492690
P05102,Velachery,1701,16,4,No,4472330
P04556,Adyar,868,182,3,No,1868980
P03782,KK Nagar,1313,157,3,No,4267760
P02221,KK Nagar,1785,37,5,Yes,5296530
P03299,Velachery,1608,19,4,No,4619760
P08959,Chrompet,832,67,3,No,2328870
P09377,Velachery,1818,105,5,No,2421410
P09924,Velachery,1730,71,4,No,3779960
P01394,Chrompet,1122,42,3,No,2643060
P07407,KK Nagar,1606,9,4,Yes,3527570
P08729,Anna Nagar,1976,114,5,No,3428640
P09542,Velachery,1954,128,5,Yes,4077830
P01853,Chrompet,1030,145,3,Yes,2498130
P08051,Adyar,1222,136,4,No,4022140
P08271,Adyar,856,177,3,No,1790180
P02055,Velachery,1957,17,5,Yes,3263660
P01462,Adyar,1011,81,3,No,2371030
P03664,Velachery,1725,100,4,Yes,5047200
P02370,Adyar,1238,14,4,No,2269260
P07852,Anna Nagar,1691,96,4,Yes,6303910
P06278,KK Nagar,2085,38,5,No,6745100
P08467,Chrompet,1021,18,3,Yes,4046510
P00992,Anna Nagar,1514,33,4,No,4454690
P05942,Chrompet,1030,101,3,No,2143380
P03989,Chrompet,906,112,3,No,2129700
P07060,T Nagar,1539,187,4,Yes,3102250
P00285,Anna Nagar,1743,4,4,Yes,4586430
P04718,Karapakkam,520,118,2,No,2713800
P00956,Anna Nagar,1823,30,5,No,3144030
P07903,KK Nagar,1565,124,4,Yes,5324580
P09166,Velachery,1941,33,5,No,2842850
P04499,Karapakkam,1383,119,4,No,2664650
P04015,Karapakkam,789,167,2,No,1286030
P09376,Velachery,1970,30,5,Yes,3514180
P00012,Chrompet,726,49,2,Yes,1854010
P08995,Anna Nagar,1737,79,4,Yes,3475690
P02323,Karapakkam,980,62,3,Yes,3438990
P01359,Chrompet,776,109,2,No,2555940
