,PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_ROOM,PARK_FACIL,Estimate
35,P04718,Karapakkam,520,118,2,No,2713800
87,P04343,Karapakkam,876,155,2,No,2025280
118,P06090,Karapakkam,747,95,2,Yes,2726500
149,P03265,Karapakkam,811,164,2,No,4182520
189,P03592,Karapakkam,815,32,2,Yes,3345410
191,P04172,Karapakkam,878,97,2,Yes,3089000
241,P04083,Karapakkam,847,52,2,No,2223240
266,P02725,Karapakkam,863,128,2,No,3349100
343,P04068,Karapakkam,660,45,2,No,2708260
407,P03784,Karapakkam,720,49,2,Yes,2676870
413,P05302,Karapakkam,877,56,2,Yes,3025800
429,P05975,Karapakkam,718,38,2,Yes,3177810
441,P03884,Karapakkam,836,54,2,Yes,2830750
442,P04772,Karapakkam,812,131,2,Yes,2179770
502,P02719,Karapakkam,841,66,2,No,2525990
544,P05559,Karapakkam,632,134,2,Yes,2183420
547,P04829,Karapakkam,675,113,2,No,2596590
564,P04634,Karapakkam,650,149,2,Yes,2880270
599,P02708,Karapakkam,591,28,2,Yes,2147400
624,P04788,Karapakkam,523,38,2,Yes,2954450
665,P06331,Karapakkam,677,114,2,Yes,2933330
676,P04589,Karapakkam,573,65,2,Yes,2448320
683,P04857,Karapakkam,566,66,2,Yes,3746890
690,P05288,Karapakkam,886,8,2,No,2484090
710,P04537,Karapakkam,844,62,2,No,3190300
723,P04898,Karapakkam,822,122,2,No,3241150
727,P04072,Karapakkam,870,96,2,Yes,3545800
765,P04062,Karapakkam,738,108,2,No,2197650
767,P01610,Karapakkam,523,127,2,Yes,3577820
831,P01630,Karapakkam,881,15,2,No,2034380
899,P03937,Karapakkam,537,77,2,No,2237790
945,P06025,Karapakkam,570,151,2,Yes,2336690
963,P03075,Karapakkam,543,99,2,Yes,2977350
992,P04692,Karapakkam,877,177,2,Yes,2326540
1002,P04735,Karapakkam,677,37,2,Yes,3492610
1010,P05828,Karapakkam,537,143,2,Yes,3285350
1025,P01540,Karapakkam,838,57,2,Yes,2840680
1042,P06474,Karapakkam,763,44,2,No,2534200
1058,P05207,Karapakkam,801,174,2,Yes,2645450
1089,P02315,Karapakkam,862,110,2,Yes,2069860
1118,P03742,Karapakkam,593,57,2,Yes,2540740
1146,P04495,Karapakkam,636,200,2,Yes,2015060
1191,P01759,Karapakkam,877,195,2,No,2882000
1239,P02742,Karapakkam,688,36,2,Yes,3378210
1255,P02804,Karapakkam,879,189,2,Yes,2504160
1258,P01553,Karapakkam,856,24,2,Yes,3065680
1262,P04693,Karapakkam,786,21,2,Yes,2106220
1322,P05235,Karapakkam,653,58,2,Yes,2757240
1328,P02978,Karapakkam,626,55,2,No,2932040
1349,P05393,Karapakkam,759,23,2,Yes,2674100
1388,P02859,Karapakkam,766,35,2,No,2701800
1431,P04255,Karapakkam,644,10,2,No,2471500
1440,P02036,Karapakkam,665,39,2,No,2235870
1457,P03518,Karapakkam,628,155,2,Yes,2819000
1474,P03131,Karapakkam,506,200,2,No,2055900
1485,P02509,Karapakkam,812,38,2,No,2358920
1503,P06563,Karapakkam,603,187,2,Yes,3334350
1602,P04848,Karapakkam,644,63,2,No,3165920
1606,P03824,Karapakkam,881,50,2,Yes,4421250
1648,P05361,Karapakkam,592,152,2,No,2059880
1669,P05026,Karapakkam,567,98,2,Yes,3098560
1697,P02415,Karapakkam,748,65,2,No,2401020
1787,P02063,Karapakkam,693,97,2,No,2234810
1807,P05482,Karapakkam,857,134,2,Yes,3688200
1818,P03082,Karapakkam,738,95,2,No,2500370
1849,P01828,Karapakkam,776,5,2,No,2877980
1864,P01858,Karapakkam,728,34,2,Yes,4024850
1890,P02407,Karapakkam,588,166,2,Yes,2155590
1906,P05457,Karapakkam,685,27,2,Yes,2545550
1908,P03120,Karapakkam,565,88,2,Yes,2082020
1917,P04822,Karapakkam,765,3,2,No,2973990
1976,P04214,Karapakkam,762,195,2,Yes,2532590
1984,P02467,Karapakkam,751,124,2,Yes,3436840
